Titulo del comentario,Tipo de Habitacion,Fecha reserva,Fecha del comentario,Nombre ,Me gusto,No me gusto,Duracion estadia,Puntaje,Pais procedencia,Tipo viajero
"Muy lindo , volvería !",Alojamiento Superior con cama extragrande y vistas al océano,enero de 2026,Fecha del comentario: 6 de enero de 2026,Javiera,"La Isla y el resort muy lindos, solo 30 minutos desde Airlie Beach. El buffet del desayuno bastante bueno, varias piscinas, y muy lindo que tengan un acuario al rededor del resort. Se pueden ver canguros rondando. La chica francesa de la Recepción fue muy amable","Podría haber más variedad en la comida de los restaurantes o implementar el servicio todo incluido. Además podrían tener más entretención por las noches , por ejemplo un equipo de animación que haga diferentes actividades.",3 noches ·,"8,0",Chile,En pareja
Agradable,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,diciembre de 2025,Fecha del comentario: 28 de diciembre de 2025,Blanco,La ubicación,"Está muy viejo, necesita una reforma con urgencia, el servicio es muy malo",4 noches ·,"6,0",España,En pareja
Normal,Alojamiento Superior con cama extragrande y vistas al océano,septiembre de 2025,Fecha del comentario: 1 de octubre de 2025,Cristina,Me gustó las actividades que tenia. aunque el material estaba un bastante viejo,Me defraudó bastante en desayuno para ser un hotel de 4 estrellas. La ducha hacía muchos ruidos cuando abrías el agua. En general la comida no muy buena. La terraza de la habitación estaba sucia.,3 noches ·,"6,0",España,En pareja
agradable y tranquila,Habitación Doble Resort con cama grande,febrero de 2025,Fecha del comentario: 24 de febrero de 2025,Marco,"el desayuno es bueno, buffet con diversas opciones, lugar bonito tranquilo y agradable. opciones para hacer diversas actividades","no hay opción de restaurantes a elegir, en el infinity se come bien en el salti es terrible y caro.",2 noches ·,"8,0",España,En pareja
Bueno pero no tan bueno,Habitación Deluxe Ocean con terraza - Cama extragrande,enero de 2025,Fecha del comentario: 24 de enero de 2025,Claudia,La ubicación,La limpieza es lo peor del lugar. Y el servicio de TV e internet,6 noches ·,"6,0",Argentina,En familia
Muy chulo para ir con niños,Habitación Doble adaptada para personas con discapacidad - 2 camas,agosto de 2024,Fecha del comentario: 27 de octubre de 2024,Chus,Los canguros paseando a sus anchas,Había algunas zonas un poco abandonadas,4 noches ·,"9,0",España,En familia
Cama digna de ver,Habitación Resort con 2 camas individuales,octubre de 2024,Fecha del comentario: 5 de octubre de 2024,M,"Los canguros paseando por el hotel, el personal del desayuno y del Restaurante de abajo, las piscinas, lower beach, el aquario.",El servicio de habitaciones era pésimo,4 noches ·,"8,0",España,En familia
Súper friendly,Habitación Doble Superior - 2 camas - Lado de la piscina,abril de 2024,Fecha del comentario: 1 de abril de 2024,Diego,"El personal era super simpático y atencioso. Un poco extra para chintia que fue super amável y nos ayudó con un pequeño acidente que tuvimos en el cuarto! En general todos muy atenciosos en el café de la recepción un casal ingleses súper simpáticos(no me acordó del nombre), un chico de Barcelona también nos ayudó a transportar cosas porque estaba lloviendo. Las piscinas agradável. Lo personal del restaurante salti también era súper amável 🥰 muchas gracias por todo..",,3 noches ·,"9,0",España,En grupo
Nada recomendable,Habitación Doble Resort con cama grande,septiembre de 2023,Fecha del comentario: 23 de septiembre de 2023,Alia,Nada,"Para empezar, el hotel está viejo y sucio. Sólo hay 2 restaurantes en el hotel (bastante malos) y en esa isla no hay nada más, por lo que no tienes opción de ir a otro sitio. El desayuno en pésimo y el comedor está sucio, con resto de otros desayunos por el suelo y, por consiguiente, lleno de animales comiéndoselo. Y es que el hotel está LLENO de wallabies (canguros pequeños) pero lleno y pájaros que campan a sus anchas por el comedor. No es algo que pueda hacer “gracia”, resulta hasta incómodo incluso si te gustan los animales. Ello hace que todo el jardín del hotel (incluso los pasillos del hotel) están llenos de caca de canguro que nadie limpia. La relación calidad precio es totalmente desproporcionada. Recomendamos buscar otras opciones para alojarse en las whitsundays.",2 noches ·,"3,0",España,En pareja
Agradable,Habitación Resort con 2 camas individuales,abril de 2026,Fecha del comentario: 2 de mayo de 2026,Kerri,Location and size of rooms were very good,"Old showers/ bath mould in bathroom. Needs a refurbish
Had to ask to get our room serviced. Stayed 4 nights and only got the room serviced once. 
Staff at tonic bar were incredibly slow every night (4) to serve people wanting to buy drinks and it wasn’t even busy. There were 3-4 staff there but they were talking to each other and genuinely walking slowly around bar area ignoring the guests trying to order a drink. Other guests noticed and commented this to us as well.",4 noches ·,"6,0",Australia,En pareja
